,Unnamed: 0,date_operation,libelle,montant,solde_avt_ope,categ
239,239,2023-08-25,CARTE XX XX XX XX,-2.01,3105.28,AUTRE
240,240,2023-08-25,CARTE XX XX VELOC XX XX,-5.0,3103.27,TRANSPORT
241,241,2023-08-28,CARTE XX XX XX XX XX,-12.0,3098.27,AUTRE
242,242,2023-08-28,CARTE XX XX XX XX XX XX,-43.6,3086.27,AUTRE
243,243,2023-08-28,RETRAIT XX XX XX,-32.0,3042.67,AUTRE
244,244,2023-08-28,CARTE XX XX LA LOUVE XX XX,-29.18,3010.67,COURSES
245,245,2023-08-28,CARTE XX XX XX XX XX,-9.8,2981.49,AUTRE
246,246,2023-08-29,CARTE XX XX XX XX,-2.45,2971.69,AUTRE
247,247,2023-08-31,DON XX XX XX XX XX XX XX,-2.28,2969.24,AUTRE
248,248,2023-08-31,CARTE XX XX XX XX XX,-2.44,2966.96,AUTRE
249,249,2023-08-31,XX XX VIREMENT XX XX XX,-36.0,2964.52,AUTRE
250,250,2023-08-31,CARTE XX XX LA LOUVE XX XX,-26.19,2928.52,COURSES
251,251,2023-09-04,CARTE XX XX TOUPTIPRI XX,-13.59,2902.33,COURSES
252,252,2023-09-04,VIREMENT XX XX XX XX XX XX XX XX XX XX XX XX,676.0,2888.74,AUTRE
253,253,2023-09-04,CARTE XX XX RAPT XX,-75.2,3564.74,TRANSPORT
254,254,2023-09-04,CARTE XX XX CHEZ LUC XX,-10.4,3489.54,RESTAURANT
255,255,2023-09-04,CARTE XX XX XX XX,-14.39,3479.14,AUTRE
256,256,2023-09-04,CARTE XX XX XX XX,-3.6,3464.75,AUTRE
257,257,2023-09-05,CARTE XX XX XX XX XX,-0.8,3461.15,AUTRE
258,258,2023-09-05,CARTE XX XX XX XX XX,-6.39,3460.35,AUTRE
259,259,2023-09-05,PRELEVEMENT XX TELEPHONE XX XX,-6.38,3453.96,FACTURE TELEPHONE
260,260,2023-09-06,FORFAIT COMPTE SUPERBANK XX XX XX XX,-1.92,3447.58,COTISATION BANCAIRE
261,261,2023-09-06,CARTE XX XX L'EPICERIE DEMBAS XX XX,-11.12,3445.66,AUTRE
262,262,2023-09-07,CARTE XX XX XX XX,-11.2,3434.54,AUTRE
263,263,2023-09-08,CARTE XX XX XX XX XX XX,-4.0,3423.34,AUTRE
264,264,2023-09-08,CARTE XX XX L'EPICERIE DEMBAS XX XX,-5.57,3419.34,AUTRE
265,265,2023-09-08,CARTE XX XX XX XX XX,-0.8,3413.77,AUTRE
266,266,2023-09-11,CARTE XX XX XX XX XX XX,-1.44,3412.97,AUTRE
267,267,2023-09-11,CARTE XX XX XX XX,-9.6,3411.53,AUTRE
268,268,2023-09-11,CARTE XX XX XX XX,-12.0,3401.93,AUTRE
269,269,2023-09-11,CARTE XX XX XX XX XX XX,-1.44,3389.93,AUTRE
270,270,2023-09-11,CARTE XX XX TOUPTIPRI XX,-9.6,3388.49,COURSES
271,271,2023-09-12,CARTE XX XX LA CCNCF XX XX,-11.25,3378.89,TRANSPORT
272,272,2023-09-12,CARTE XX XX XX XX XX,-4.0,3367.64,AUTRE
273,273,2023-09-12,CARTE XX XX L'EPICERIE DEMBAS XX XX,-19.61,3363.64,AUTRE
274,274,2023-09-14,CARTE XX XX LA CCNCF XX,-47.61,3344.03,TRANSPORT
275,275,2023-09-15,VIREMENT PERMANENT LOYER,-345.0,3296.42,LOYER
276,276,2023-09-15,VIREMENT XX XX XX XX XX XX XX XX XX,39.82,2951.42,AUTRE
